"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PRG4",9.42469251740662e-44,1.386539754227,0.283,0.025,2.44570770826702e-39,"5","PRG4"
"APOBEC2",1.13743528301932e-40,0.658457789494018,0.254,0.021,2.95164455943514e-36,"5","APOBEC2"
"UCHL11",2.81923910717239e-38,1.21832702568699,0.826,0.322,7.31592548311235e-34,"5","UCHL1"
"TMOD11",2.85558719664329e-36,1.10678120873301,0.804,0.31,7.41024877528933e-32,"5","TMOD1"
"SYNE21",3.81403188377937e-35,0.840382420034522,0.42,0.082,9.89741273840747e-31,"5","SYNE2"
"BAIAP3",4.84443363424938e-34,0.872972806379745,0.384,0.071,1.25713052808771e-29,"5","BAIAP3"
"PEG10",9.80646399487415e-34,1.80231132995035,0.645,0.206,2.54477740666984e-29,"5","PEG10"
"GAD21",1.8012146802051e-33,1.19019867134404,0.775,0.296,4.67415209513223e-29,"5","GAD2"
"AQP3",4.3225799940212e-33,2.40286450530033,0.638,0.222,1.1217095084485e-28,"5","AQP3"
"SEC11C",9.89312502120583e-33,1.28796520972037,0.833,0.397,2.56726594300291e-28,"5","SEC11C"
"MAP1B",3.65705095182834e-32,1.04757748558338,0.797,0.336,9.49004721999454e-28,"5","MAP1B"
"OPRD1",5.01243700376176e-32,0.863403064571205,0.297,0.044,1.30072740247618e-27,"5","OPRD1"
"NR0B1",1.24803055705675e-30,0.692357515248952,0.312,0.049,3.23863929556225e-26,"5","NR0B1"
"PLEKHB1",3.15926083609827e-29,0.939207069636423,0.42,0.097,8.198281869675e-25,"5","PLEKHB1"
"ETV1",4.03361560152107e-28,0.64473423526132,0.297,0.049,1.04672324859472e-23,"5","ETV1"
"NLRP11",5.28742183505083e-27,0.919284774483428,0.754,0.321,1.37208596619569e-22,"5","NLRP1"
"PKIB",6.85021955014163e-27,0.626977004325848,0.319,0.058,1.77763197326175e-22,"5","PKIB"
"TENM3",1.28641213798901e-26,0.66156945055222,0.29,0.05,3.33823949808148e-22,"5","TENM3"
"MS4A8",2.22707161717284e-26,0.64032418979823,0.312,0.058,5.77925084656352e-22,"5","MS4A8"
"SHISAL2B",5.65106565806509e-26,0.941324804912301,0.319,0.062,1.46645153826789e-21,"5","SHISAL2B"
"ABCC8",6.82353518904985e-26,1.4901752573878,0.79,0.414,1.77070738155844e-21,"5","ABCC8"
"RGS2",4.52945248521788e-24,1.20084883010237,0.514,0.168,1.17539291991404e-19,"5","RGS2"
"UNC5B",7.16974099345135e-24,0.684433023172333,0.457,0.121,1.86054778780063e-19,"5","UNC5B"
"ACSL1",6.1407502339265e-23,0.762797196087639,0.326,0.074,1.59352468570393e-18,"5","ACSL1"
"KCNH21",7.02397199914075e-23,0.709953682542794,0.667,0.257,1.82272073377702e-18,"5","KCNH2"
"MAPT",9.68869594884442e-23,0.655077328266907,0.312,0.068,2.51421659872513e-18,"5","MAPT"
"HADH1",3.56287596507949e-22,0.677659976011425,0.536,0.179,9.24566312938128e-18,"5","HADH"
"PCSK1N2",3.75692878361521e-22,0.791388168032275,1,0.759,9.74923019348147e-18,"5","PCSK1N"
"DHRS21",4.8017752178659e-22,0.865684674613234,0.58,0.211,1.2460606690362e-17,"5","DHRS2"
"MRAP2",1.04971735684017e-21,0.540576603332339,0.283,0.058,2.72401654100023e-17,"5","MRAP2"
"FFAR4",2.04938263150517e-21,0.866681558814231,0.283,0.06,5.31814792875593e-17,"5","FFAR4"
"SYT13",3.34647248739308e-21,0.582493790451783,0.319,0.072,8.68409610478504e-17,"5","SYT13"
"MEIS2",3.65414483103781e-21,0.892002550866768,0.551,0.208,9.48250583654311e-17,"5","MEIS2"
